hotel_name,author_name,language,review_text
AnkAkyaka Apart Hotel,Nurten Ö.,tr,biz en ucuz ve en dar odada kaldik. bunu biliyorduk ve ihtiyacimiz sadece gece gecirebilecegimiz odaydi. bu sebeple eger oyle bi otel ariyorsaniz en ucuz oda yeterli. oda gercekten kucuk yatak ve mini buzdolabi disinda buyuk valiz acmak isteseniz acamazsiniz. banyo tuvalet yeterli. dedigim gibi gecesine 900 tl verdiginiz oda size kalmak icin temel sartlari sagliyor. yatak yastiklar vs rahat. tuvalet banyo temizdi. biz tek gece kaldik ve ikinci gece de kalmak istesek oda gozumuze batabilirdi. ama tek gece tolere edildi. odada internet cekmiyor ama wifi sifresi talep edilebilir. konum acisindan da her yere yurume mesafesi.
AnkAkyaka Apart Hotel,Semih Ceyhan,tr,"konumu güzel, odalari geniş, ama eski ve tuvaletler kokuyordu. fakat personelin tavrı bir değişik. telefonda konuşup anlaştığımız fiyatın üstünde bir fiyat söylediler. sonra da bize yalancı muamelesi yapıp atar yaptı arkadaş. ben yalan söylüyorum o zaman diye atarlandi. fiyatı düşükten aldı sonuçta ama üslup çok rahatsız ediciydi. üzücü ve moral bozucu bir deneyimdi. bu sebeple iki yıldız verdim yoksa daha fazla hak eder. akyakada pek çok apart var başkasını tercih edebilirsiniz..."
AnkAkyaka Apart Hotel,Şemsi Aksel,tr,her bütçeye göre uygun. 1000 liralık odada kalmakla 2000 tl aynı değil. biz 1+1 de kaldık. her şey ferah çift balkon vardı. tertemizdi. valizde açamadık diyenler ona göre tutacak yada apartın tüm odaları dar gibi ambiyans yaratmayacak. 2 yaş oğlumla çok rahat ettik. güven içinde gelebilirsiniz. teşekkürler ankakyaka apart hotel
AnkAkyaka Apart Hotel,ilayda ülker,tr,"biz eylül 29 da aile olarak konaklama yaptık çok memnun kaldık. apart tertemizdi, çalışanlar ilgiliydi . apartın malzemeleri temizdi ve her şey düşünülmüştü. çok memnun kaldık teşekkür ederiz fethiye’den selamlar"
AnkAkyaka Apart Hotel,Viktor Thiessen,tr,"ank akyaka otel’de konaklamam harikaydı. fiyatı oldukça uygun olmasına rağmen, sunduğu temizlik ve kalite gerçekten beş yıldızı hak ediyor. odalar modern ve özenle temizlenmişti. personelin güler yüzlülüğü ve ilgisi, tatil deneyimimi daha da güzelleştirdi. akyaka’nın doğal güzelliğiyle birleşen huzurlu atmosferi, burada geçirilen zamanı unutulmaz kılıyor. uygun fiyatlı, temiz ve konforlu bir konaklama arayan herkese gönül rahatlığıyla tavsiye ederim"
AnkAkyaka Apart Hotel,Faysal Motovlogs,en,"good experience with the room, centre is 5 minutes walking where you can everything like restaurant, shops, banks, departmental stores. view from outside the building is amazing due to it's amazing nature if you want to see the room tour of this hotel which will be released soon please check on my youtube and subscribe. i am a motovlogger and travel inside turkey at different locations @moodylens best regards"
AnkAkyaka Apart Hotel,Fritschi Freeride,en,"staying in ankakyaka was to me: a nice and clean place to sleep a series of option to choose from, from double bedded rooms with kitchen and balcony & big rooms to small rooms with double bed in minimalistic-style stuff which to got along with very nicely even though we where not speaking the same language a nice & warm morning smile ,when you pass someone after getting up a chance to use a kitchen and therefore make use of the local fish-market a very nice and respectful and friendly owner with son which where very kind and helpful i'm a simple person it , doesn't need much for me but even if your not in ankakyaka you get great value for the money you invest. i'd like to stay here again - some day - the minimalistic rooms they also have where perfect for me and my needs. i'm already looking forward for another visit in ankakyaka. greetings and all the best form ceto & ... me : ) the room 212 could use some better scent, but that really a minor problem not major."
AnkAkyaka Apart Hotel,Zarrina Çebi,en,"very nice place to stay! love balcony , apartments have everything you need, close to the river and beach shopping stores are nearby."
AnkAkyaka Apart Hotel,Anton van A,en,"we had a small room, which was really small lol. friendly staff and convinient stay! recommended"
AnkAkyaka Apart Hotel,Akin Turan,en,wow decent showers höt hot water if needed. very hard to find..others are decent..
